,epoch,train_loss,val_loss
0,1.0,0.4890619038589417,0.11547661327485796
1,2.0,0.07682061718096808,0.06781819217567202
2,3.0,0.054865602037263296,0.044208530761018584
3,4.0,0.04864017027356322,0.056711145028283325
4,5.0,0.07451006423622843,0.09582504158533073
5,6.0,0.07596864824493726,0.05075562969321692
6,7.0,0.05236214826267863,0.044265954484102095
7,8.0,0.038323679560470204,0.041739955332271664
8,9.0,0.03236447170613304,0.027262729651565794
9,10.0,0.029323600315385393,0.028186680784425402
10,11.0,0.03162988807473864,0.033028419094183775
11,12.0,0.03587224707598724,0.05668381078145172
12,13.0,0.03503629985073256,0.036917665808261196
13,14.0,0.028593834607847153,0.032941100623788716
14,15.0,0.023490208872253934,0.01972340264275104
15,16.0,0.02038948287566503,0.018700629908921598
16,17.0,0.01998534037007226,0.0214001399382383
17,18.0,0.023643019147926853,0.029879124599355687
18,19.0,0.0260823078423975,0.033923054420495334
19,20.0,0.023979710314481976,0.031040160056156448
20,21.0,0.019704706656436127,0.018654102530283264
21,22.0,0.01594968960871772,0.014420532297248705
22,23.0,0.015177311418607594,0.01487799045995255
23,24.0,0.016912988821665444,0.02103975850239962
24,25.0,0.020879867604918896,0.025766570097472095
25,26.0,0.021672358567870798,0.025054748464800134
26,27.0,0.01816060734055345,0.01558943150588606
27,28.0,0.014659736870181938,0.011991832829728911
28,29.0,0.012773824854206944,0.011195219157240059
29,30.0,0.013417566585398855,0.015012996229991506
30,31.0,0.016811219249511997,0.0247539696224694
31,32.0,0.020222674123942852,0.030622826323290414
32,33.0,0.01862258713928953,0.019809053527026235
33,34.0,0.014826052143637624,0.01200326859856708
34,35.0,0.012101451742152373,0.010519170326098233
35,36.0,0.011938762712100195,0.012728717437461961
36,37.0,0.014318002245965458,0.017892211510599415
37,38.0,0.017275891983733763,0.02610678235186806
38,39.0,0.017580344646223007,0.018357686580547802
39,40.0,0.015267589012722647,0.014097109342677683
